Distric Number,District,% Eco Disadvantaged,2020 4-Year Graduation Rate,2020 Dropout Rate
57819,JEAN MASSIEU ACADEMY ,72.3,100,0
57827,NOVA ACADEMY SOUTHEAST ,91.7,,
57828,WINFREE ACADEMY CHARTER SCHOOLS ,46.6,41.7,6.1
57829,A+ ACADEMY ,86.9,98.8,0
57830,INSPIRED VISION ACADEMY ,90.6,97.4,0.5
57831,GATEWAY CHARTER ACADEMY ,87.6,100,0
57833,EDUCATION CENTER INTERNATIONAL ACA ,49.9,,
57834,EVOLUTION ACADEMY CHARTER SCHOOL ,66.6,56.5,7
57835,GOLDEN RULE CHARTER SCHOOL ,99.9,,0
57836,ST ANTHONY SCHOOL ,84.1,,
57839,LA ACADEMIA DE ESTRELLAS ,87.4,,
57840,RICHLAND COLLEGIATE HIGH SCHOOL ,11.4,98.3,0.7
57841,CITYSCAPE SCHOOLS ,89.8,,
57844,MANARA ACADEMY ,61.2,,0
57845,UME PREPARATORY ACADEMY ,38.4,100,0
57846,LEGACY PREPARATORY ,86.6,95.8,0.3
57847,VILLAGE TECH SCHOOLS ,49.6,94.4,0
57848,INTERNATIONAL LEADERSHIP OF TEXAS ,64,98.2,0.1
57850,PIONEER TECHNOLOGY & ARTS ACADEMY ,40.6,,0
57851,BRIDGEWAY PREPARATORY ACADEMY ,40.6,,
57903,CARROLLTON-FARMERS BRANCH ISD ,67.6,94.4,1.1
57904,CEDAR HILL ISD ,62.1,94.3,1.4
57905,DALLAS ISD ,85.1,82.8,3.9
57906,DESOTO ISD ,74.4,93.1,1.3
57907,DUNCANVILLE ISD ,83.4,93.3,0.8
57909,GARLAND ISD ,70.8,94.5,0.6
57910,GRAND PRAIRIE ISD ,71.3,91.3,1.8
57911,HIGHLAND PARK ISD ,0.2,99.8,0
57912,IRVING ISD ,83.4,93.7,0.8
57913,LANCASTER ISD ,86,99.1,0.2
57914,MESQUITE ISD ,78,94.6,0.8
57916,RICHARDSON ISD ,55.6,91.3,1.4
57919,SUNNYVALE ISD ,16.6,100,0.2
57922,COPPELL ISD ,9.7,98.9,0.2
58902,DAWSON ISD ,70.9,100,0
58905,KLONDIKE ISD ,27.3,100,0
58906,LAMESA ISD ,81.6,97.6,0
58909,SANDS CISD ,61.1,85.7,0
59901,HEREFORD ISD ,77.8,91.7,0.9
59902,WALCOTT ISD ,54.2,,
60902,COOPER ISD ,63,94.1,1.2
60914,FANNINDEL ISD ,89.9,85.7,0
61802,NORTH TEXAS COLLEGIATE ACADEMY ,89.1,,
61804,LEADERSHIP PREP SCHOOL ,1.3,,0.3
61805,TRIVIUM ACADEMY ,1.8,,0
61901,DENTON ISD ,47.8,97.1,0.3
61902,LEWISVILLE ISD ,31.4,96.3,0.6
61903,PILOT POINT ISD ,48.2,100,0
61905,KRUM ISD ,32,97.7,0.3
61906,PONDER ISD ,40.1,100,0
61907,AUBREY ISD ,29.7,98.4,0
61908,SANGER ISD ,41.3,93.5,0.8
61910,ARGYLE ISD ,6.7,99.5,0.1
61911,NORTHWEST ISD ,21.6,94.9,0.6
61912,LAKE DALLAS ISD ,46.2,97.9,0.4
61914,LITTLE ELM ISD ,48.5,95.3,0.7
62901,CUERO ISD ,59.3,98.7,0.2
62902,NORDHEIM ISD ,50,100,0
62903,YOAKUM ISD ,75.4,96.9,0.2
62904,YORKTOWN ISD ,53.7,95.2,0
62905,WESTHOFF ISD ,53,,
62906,MEYERSVILLE ISD ,46.4,,
63903,SPUR ISD ,51,100,0
63906,PATTON SPRINGS ISD ,75.6,100,0
64903,CARRIZO SPRINGS CISD ,82.5,93.2,0.8
65901,CLARENDON ISD ,49.2,95.7,0
65902,HEDLEY ISD ,72.6,100,0
66005,RAMIREZ CSD ,97.7,,
66901,BENAVIDES ISD ,88.2,100,1.9
66902,SAN DIEGO ISD ,87.5,97.6,1.8
66903,FREER ISD ,75.5,89.6,1.3
67902,CISCO ISD ,53.4,98.6,0
67903,EASTLAND ISD ,56,97.5,0
67904,GORMAN ISD ,72.1,100,0
67907,RANGER ISD ,74.2,96.6,0.8
67908,RISING STAR ISD ,68.3,91.7,0
68802,COMPASS ACADEMY CHARTER SCHOOL ,10.4,,0
68803,UTPB STEM ACADEMY ,19.9,,0.6
68901,ECTOR COUNTY ISD ,55.4,84.7,2.9
